"Code","Country","Colonizer","Beginning","End","Duration","VC","VR","VI","V Total","PT1","PT2","PT3","PT4","ET1","ET2","ET3","ET4","ET5","ET6","ET7","ST1","ST2","ST3","ST4","PT Level","ET Level","ST Level","CT Level"
"MOZ","Mozambique","P",1569,1975,406,1,2,2,5,3,1,1,2,2,1,1,2,2,1,1,1,1,3,2,83,64,63,77
"MRT","Mauritania","F",1858,1960,102,2,2,0,4,3,1,1,1,2,4,4,0,0,0,0,0,0,1,1,71,43,19,48
"MWI","Malawi","UK",1885,1964,79,1,1,1,3,2,1,1,2,1,1,4,1,1,0,0,0,1,3,2,55,39,56,55
"MYS","Malaysia","UK",1511,1963,452,1,0,2,3,3,1,2,0,1,0,4,2,2,0,2,0,2,2,2,68,50,63,66
"NER","Niger","F",1897,1960,63,2,1,0,3,4,1,1,1,2,3,4,0,0,0,1,0,1,1,2,64,39,44,54
"NGA","Nigeria","UK",1851,1960,109,1,1,0,2,2,1,1,0,1,3,3,2,1,1,2,0,1,3,2,42,64,56,61
"NPL","Nepal","x",1816,1947,131,2,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,4,0,13
"OMN","Oman","UK",1850,1971,121,0,1,0,1,3,0,0,0,1,0,1,0,0,0,1,0,1,1,2,26,11,44,30
"PAK","Pakistan","UK",1843,1947,104,2,1,0,3,4,0,2,0,1,3,3,2,0,0,1,0,0,1,1,73,43,19,49
"PHL","Philippines","US",1565,1946,381,1,2,0,3,4,1,0,0,2,4,4,2,2,2,2,0,0,4,1,55,100,38,71
"PNG","Papua New Guine","AU",1884,1975,91,1,0,0,1,3,1,0,0,1,2,2,1,2,2,2,1,0,3,1,26,71,38,50
"PRK","Korea, Dem. Rep","JP",1876,1945,69,1,2,1,4,4,0,0,2,2,4,4,2,0,2,2,2,0,1,0,67,86,19,63
"QAT","Qatar","UK",1916,1971,55,0,0,0,0,2,0,0,0,1,0,2,0,0,0,2,0,2,0,0,9,14,25,18
"RWA","Rwanda","B",1899,1961,62,1,0,2,3,3,0,2,1,1,1,4,1,1,0,1,0,0,3,2,68,39,44,55
"SAU","Saudi Arabia","x",1915,1927,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2
"SDN","Sudan","UK",1898,1956,58,2,1,0,3,4,0,2,0,1,1,4,2,0,1,0,0,1,1,1,73,54,31,57
"SEN","Senegal","F",1816,1906,90,2,1,0,3,2,1,1,1,2,4,4,2,1,0,0,1,2,2,2,55,64,69,69
"SGP","Singapore","UK",1818,1963,145,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLB","Solomon Islands","UK",1885,1978,93,0,1,0,1,2,1,0,0,1,0,4,1,2,1,0,0,0,4,0,21,57,25,39
"SLE","Sierra Leone","UK",1787,1961,174,2,1,0,3,3,1,1,0,1,3,4,2,0,2,2,0,0,2,2,59,75,38,63
"SOM","Somalia","I",1855,1960,105,2,0,1,3,3,1,2,1,1,1,4,0,1,0,0,0,1,0,2,68,32,38,50
"SWZ","Swaziland","UK",1880,1968,88,0,0,1,1,2,0,0,0,1,2,4,1,2,1,2,2,0,4,2,21,64,63,55
"SYR","Syrian Arab Rep","F",1918,1946,28,1,2,1,4,4,0,1,1,2,1,0,1,0,0,0,0,0,1,2,76,25,31,48
"TCD","Chad","F",1900,1960,60,2,0,0,2,2,1,2,1,2,3,4,0,0,0,0,0,2,3,2,52,39,69,59
"TGO","Togo","F",1884,1960,76,1,1,0,2,3,1,2,1,2,2,4,2,1,0,1,0,0,3,2,56,57,44,58
"THA","Thailand","x",1855,1938,83,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,17,14,13,16
"TUN","Tunisia","F",1869,1956,87,0,1,0,1,3,0,0,0,2,3,1,2,2,0,2,3,0,1,1,26,57,38,45
"TUR","Turkey","x",1838,1923,85,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,1,5,7,19,11
"TWN","Taiwan","JP",1624,1945,321,2,1,2,5,4,0,0,2,2,4,4,2,0,0,1,2,0,1,2,79,57,44,66
"TZA","Tanzania","UK",1821,1961,140,2,1,0,3,2,1,2,0,1,1,2,2,1,2,0,0,1,3,1,64,68,44,64
"UGA","Uganda","UK",1890,1962,72,2,0,0,2,3,1,2,0,1,0,3,2,1,1,1,0,2,3,1,56,54,56,61
"VNM","Vietnam","F",1859,1956,97,2,2,2,6,4,0,1,2,2,1,3,2,2,1,2,0,1,2,0,100,71,25,71
"VUT","Vanuatu","UK/F",1887,1980,93,2,0,0,2,3,1,0,0,1,1,4,1,2,0,1,2,2,4,0,38,46,63,55
"ZAF","South Africa","UK",1652,1994,342,2,1,1,4,4,1,2,0,2,0,4,2,2,2,2,4,2,4,2,85,86,100,100
<<<<<<< HEAD
"ZAR","Zaire/Congo Dem","B",1879,1960,81,2,1,1,4,3,1,1,2,1,1,4,2,2,2,2,0,1,3,1,71,82,44,73
=======
NA,"Zaire/Congo Dem","B",1879,1960,81,2,1,1,4,3,1,1,2,1,1,4,2,2,2,2,0,1,3,1,71,82,44,73
>>>>>>> 4f880e3c39fb5470e2cce828e2e0123220e471d2
"ZMB","Zambia","UK",1889,1964,75,1,1,0,2,2,1,2,0,1,1,4,1,0,1,2,2,0,4,2,52,46,63,59
"ZWE","Zimbabwe","UK",1888,1980,92,2,1,2,5,4,1,0,0,2,0,4,2,2,2,2,2,2,3,2,79,86,81,91
