"year","cgdppc","rgdpnapc","cgdppc_England","rgdpnapc_England","cgdp","rgdp"
1925,6770,8041,NA,NA,6770,8041
1926,6527,7715,NA,NA,6527,7715
1927,7061,8307,NA,NA,7061,8307
1928,7150,8373,NA,NA,7150,8373
1929,7380,8601,NA,NA,7380,8601
1930,7301,8504,NA,NA,7301,8504
1931,6900,8031,NA,NA,6900,8031
1932,6918,8047,NA,NA,6918,8047
1933,7097,8248,NA,NA,7097,8248
1934,7546,8764,NA,NA,7546,8764
1935,7809,9064,NA,NA,7809,9064
1936,8132,9433,NA,NA,8132,9433
1937,8384,9718,NA,NA,8384,9718
1938,8456,9794,NA,NA,8456,9794
1939,8456,9788,NA,NA,8456,9788
1940,9264,10716,NA,NA,9264,10716
1941,10116,11694,NA,NA,10116,11694
1942,10336,11939,NA,NA,10336,11939
1943,10485,12103,NA,NA,10485,12103
1944,10034,11574,NA,NA,10034,11574
1945,9567,11028,NA,NA,9567,11028
1946,9152,10543,NA,NA,9152,10543
1947,8967,10322,NA,NA,8967,10322
1948,9165,10543,NA,NA,9165,10543
1949,9457,10871,NA,NA,9457,10871
1950,9441,10846,NA,NA,9441,10846
1951,9599,11134,NA,NA,9599,11134
1952,9507,11083,NA,NA,9507,11083
1953,9957,11481,NA,NA,9957,11481
1954,10400,11909,NA,NA,10400,11909
1955,10779,12298,NA,NA,10779,12298
1956,10944,12392,NA,NA,10944,12392
1957,11127,12530,NA,NA,11127,12530
1958,11132,12450,NA,NA,11132,12450
1959,11525,12878,NA,NA,11525,12878
1960,12000,13512,NA,NA,12000,13512
1961,12385,13843,NA,NA,12385,13843
1962,12426,13856,NA,NA,12426,13856
1963,12849,14300,NA,NA,12849,14300
1964,13513,14954,NA,NA,13513,14954
1965,13802,15241,NA,NA,13802,15241
1966,14099,15450,NA,NA,14099,15450
1967,14440,15706,NA,NA,14440,15706
1968,14610,16270,NA,NA,14610,16270
1969,15241,16492,NA,NA,15241,16492
1970,15715,16829,NA,NA,15715,16829
1971,15703,17101,NA,NA,15703,17101
1972,16053,17652,NA,NA,16053,17652
1973,17116,18795,NA,NA,17116,18795
1974,16824,18535,NA,NA,16824,18535
1975,16745,18517,NA,NA,16745,18517
1976,17398,18935,NA,NA,17398,18935
1977,18138,19355,NA,NA,18138,19355
1978,19124,20049,NA,NA,19124,20049
1979,20129,20580,NA,NA,20129,20580
1980,20593,20211,NA,NA,20593,20211
1981,19975,19924,NA,NA,19975,19924
1982,19865,20248,NA,NA,19865,20248
1983,20105,20951,NA,NA,20105,20951
1984,20270,21444,NA,NA,20270,21444
1985,20712,22139,NA,NA,20712,22139
1986,21303,23041,NA,NA,21303,23041
1987,22246,24059,NA,NA,22246,24059
1988,23075,25179,NA,NA,23075,25179
1989,23642,25654,NA,NA,23642,25654
1990,24002,25679,NA,NA,24002,25679
1991,23696,25314,NA,NA,23696,25314
1992,23812,25336,NA,NA,23812,25336
1993,24481,25909,NA,NA,24481,25909
1994,25353,26847,NA,NA,25353,26847
1995,26500,27447,NA,NA,26500,27447
1996,27775,28075,NA,NA,27775,28075
1997,29840,28879,NA,NA,29840,28879
1998,30978,29714,NA,NA,30978,29714
1999,32245,30587,NA,NA,32245,30587
2000,34390,31619,NA,NA,34390,31619
2001,35182,32356,NA,NA,35182,32356
2002,35384,32992,NA,NA,35384,32992
2003,35354,33977,NA,NA,35354,33977
2004,36320,34638,NA,NA,36320,34638
2005,37724,35424,NA,NA,37724,35424
2006,38251,36045,NA,NA,38251,36045
2007,38071,36679,NA,NA,38071,36679
2008,37657,36163,NA,NA,37657,36163
2009,35730,34338,NA,NA,35730,34338
2010,35116,34722,NA,NA,35116,34722
2011,34971,34971,NA,NA,34971,34971
2012,35784,35185,NA,NA,35784,35185
2013,37702,35618,NA,NA,37702,35618
2014,38220,36436,NA,NA,38220,36436
2015,38749,36941,NA,NA,38749,36941
2016,39162,37334,NA,NA,39162,37334
