"State","Name","Code","ColRulerName","GDPpc17","HDI17","IHDI17","Gini","ColRuler","ColRulerCode","IndFrom","IndDate","IndViol","IndType","SecFrom","SecDate","SecViol","Into","IntoDate","COWsys","GWsys","Notes"
373,"Azerbaijan","AZE","Russia",4146.37428171431,0.757,0.681,16.6,365,"RUS",365,199112,0,3,-9,-9,-9,-9,-9,199112,199112,"Terr chg also includes 1918 violent secession (but not system entry); under Ottoman/Persian rule until Russian conquest in early 19th century"
516,"Burundi","BDI","Belgium",290.444153755691,0.417,0.278,38.6,211,"BEL",211,196207,0,2,-9,-9,-9,-9,-9,196207,196207,"Part of German East Africa until granted to Belgium as League mandate / UN trust"
211,"Belgium","BEL","Netherlands",43288.9147620453,0.916,0.836,27.7,210,"NLD",210,183010,1,3,210,183010,1,-9,-9,183012,183010,"COW system interrupted 5/1940-6/1945 (Ger occup); seceded from Netherlands in 1830-31 (recognized by Dutch in 1839)"
434,"Benin (Dahomey)","BEN","France",826.475967404579,0.515,0.326,47.8,220,"FRA",220,196008,0,2,-9,-9,-9,-9,-9,196008,196008,"Part of French West Africa"
439,"Burkina Faso (Upper Volta)","BFA","France",642.138599390587,0.423,0.288,35.3,220,"FRA",220,196008,0,2,-9,-9,-9,-9,-9,196008,196008,"Part of Upper Senegal-Niger colony (with Mali)"
771,"Bangladesh","BGD","United Kingdom",1491.67340954649,0.608,0.462,32.4,200,"GBR",770,197112,1,3,770,197112,1,-9,-9,197112,197112,"Terr chg includes the indep case as well as an ""initial system membership list"" entrry (???)"
355,"Bulgaria","BGR","Turkey",8218.19557608487,0.813,0.71,37.4,640,"TUR",640,187803,1,2,-9,-9,-9,-9,-9,190810,187803,"-9"
692,"Bahrain","BHR","United Kingdom",23667.6192931185,0.846,NA,NA,200,"GBR",200,197108,0,2,-9,-9,-9,-9,-9,197108,197108,"-9"
31,"Bahamas","BHS","United Kingdom",29824.6691504726,0.807,NA,NA,200,"GBR",200,197307,0,2,-9,-9,-9,-9,-9,197307,197307,"-9"
346,"Bosnia and Herzegovina","BIH","Turkey",5180.77782708019,0.768,0.649,32.7,640,"TUR",345,199203,1,3,345,199203,1,-9,-9,199204,199204,"Acquired by Austria from Turkey in 1878 Treaty of Berlin"
370,"Belarus","BLR","Russia",5749.81470435261,0.808,0.755,27,365,"RUS",365,199112,0,3,-9,-9,-9,-9,-9,199112,199108,"Under Polish rule until obtained by Russia in partitions of Poland"
80,"Belize","BLZ","United Kingdom",5076.98884117423,0.708,0.55,NA,200,"GBR",200,198109,0,2,-9,-9,-9,-9,-9,198109,198109,"-9"
145,"Bolivia","BOL","Spain",3393.95582225811,0.693,0.514,44.6,230,"ESP",230,182508,1,2,-9,-9,-9,-9,-9,184801,182508,"Part of Peru-Bolivia Confederation from 1836-9 (not in COW or G&W system); was part of Peru and later Arg. under Spanish rule"
140,"Brazil","BRA","Portugal",9821.43977614319,0.759,0.578,51.3,235,"PRT",235,182209,0,2,-9,-9,-9,-9,-9,182209,182209,"-9"
53,"Barbados","BRB","United Kingdom",16494.1718524144,0.8,0.669,NA,200,"GBR",200,196611,0,2,-9,-9,-9,-9,-9,196611,196611,"-9"
835,"Brunei","BRN","United Kingdom",28290.766218846,0.853,NA,NA,200,"GBR",200,198401,0,2,-9,-9,-9,-9,-9,198401,198401,"-9"
760,"Bhutan","BTN","United Kingdom",3172.83301309724,0.612,0.446,38.8,200,"GBR",750,194708,0,2,-9,-9,-9,-9,-9,197109,194901,"Ruled by Chinese before British/Indians; British end date=indep of India"
571,"Botswana","BWA","United Kingdom",7595.59581687935,0.717,NA,60.5,200,"GBR",200,196609,0,2,-9,-9,-9,-9,-9,196609,196609,"-9"
482,"Central African Republic","CAF","France",427.714078735292,0.367,0.212,56.2,220,"FRA",220,196010,0,2,-9,-9,-9,-9,-9,196008,196008,"Part of Ubangi-Shari-Chad 1906-10 & French Equatorial Africa 1910-20"
20,"Canada","CAN","United Kingdom",44973.5481026937,0.926,0.852,34,200,"GBR",200,186707,0,2,-9,-9,-9,-9,-9,192001,186707,"Independent but not a COW system member from 1867-1920 due to British control of foreign policy"
225,"Switzerland","CHE","Not Colonized",80101.2041019419,0.944,0.871,32.5,-9,"N/C",-9,129108,0,1,-9,-9,-9,-9,-9,181601,181601,"-9"
155,"Chile","CHL","Spain",15346.7278988212,0.843,0.71,47.7,230,"ESP",230,181802,1,2,-9,-9,-9,-9,-9,183901,181804,"-9"
710,"China (PRC)","CHN","Not Colonized",8682.24956150639,0.752,0.643,42.2,-9,"N/C",-9,136800,1,1,-9,-9,-9,-9,-9,186010,181601,"-9"
437,"Cote d'Ivoire (Ivory Coast)","CIV","France",1566.38357677321,0.492,0.311,41.5,220,"FRA",220,196008,0,2,-9,-9,-9,-9,-9,196008,196008,"Part of French West Africa"
471,"Cameroon","CMR","France",1451.91763174703,0.556,0.366,46.6,220,"FRA",220,196001,1,2,-9,-9,-9,-9,-9,196001,196001,"French/British League/UN trust - British sector split between Nigeria & Cameroon"
490,"Dem. Rep. Congo (Zaire; Congo-Kinshasa)","COD","Belgium",462.779534084855,0.457,0.319,42.1,211,"BEL",211,196006,1,2,-9,-9,-9,-9,-9,196006,196006,"-9"
484,"Congo (Congo-Brazzaville)","COG","France",2146.53137220113,0.606,0.469,48.9,220,"FRA",220,196008,0,2,-9,-9,-9,-9,-9,196008,196008,"-9"
100,"Colombia","COL","Spain",6301.58987281464,0.747,0.571,50.8,230,"ESP",230,181912,1,2,-9,-9,-9,-9,-9,183101,183009,"I (and COW) consider Gran Colombia (G&W system: 8/30/1821-9/22/1830) same entity as Colombia"
581,"Comoros","COM","France",1329.91752701005,0.503,0.275,45.3,220,"FRA",220,197507,0,2,-9,-9,-9,-9,-9,197512,197507,"Includes Grande Comore/Anjouan/Moheli Islands (Mayotte remained French)"
402,"Cape Verde","CPV","Portugal",3244.67116696081,0.654,NA,47.2,235,"PRT",235,197507,0,2,-9,-9,-9,-9,-9,197507,197507,"Associated with Guinea-Bissau from 1976-81"
94,"Costa Rica","CRI","Spain",11734.1002537488,0.794,0.651,48.7,230,"ESP",89,183811,1,3,89,183811,1,-9,-9,192001,184001,"Seceded from United States/Provinces of Cent.Am. (not in COW system; G&W 7/1/1823-12/31/1839)"
40,"Cuba","CUB","Spain",8433.09269880212,0.777,NA,NA,230,"ESP",2,190205,0,2,-9,-9,-9,-9,-9,190205,190205,"COW system interrupted 9/1906-1/1909 (US occup); indep from USA coded as nonviolent (but long revolt against Spanish rule before USA acquired Cuba)"
352,"Cyprus","CYP","United Kingdom",25789.8497499203,0.869,0.769,34,200,"GBR",200,196008,1,2,-9,-9,-9,-9,-9,196008,196008,"-9"
316,"Czechia / Czech Republic","CZE","Austria-Hungary",20325.715788574,0.888,0.84,25.9,300,NA,315,199301,0,4,315,199301,0,-9,-9,199301,199301,"Emerged from breakup of Czechoslovakia (""Velvet Divorce"")"
255,"Germany (19th Century Prussia)","DEU","Not Colonized",44976.4261576628,0.936,0.861,31.7,-9,"N/C",-9,161807,0,1,-9,-9,-9,-9,-9,181601,181601,"COW system interrupted 5/1945-10/1990 (split into East-West Germany); Polity codes indep of Germany (violent unification) in 1871 / COW codes unified Germany as continuation of #255 Prussia"
522,"Djibouti","DJI","France",1927.59240743743,0.476,0.306,44.1,220,"FRA",220,197706,0,2,-9,-9,-9,-9,-9,197706,197706,"-9"
54,"Dominica","DMA","United Kingdom",6719.33730632899,0.715,NA,NA,200,"GBR",200,197811,0,2,-9,-9,-9,-9,-9,197811,-9,"Settled by French; taken by Britain in 18th century"
390,"Denmark","DNK","Not Colonized",57532.5024899003,0.929,0.86,28.2,-9,"N/C",-9,98000,0,1,-9,-9,-9,-9,-9,181601,181601,"COW system interrupted 4/1940-5/1945 (Ger occup)"
42,"Dominican Republic","DOM","Spain",7052.26568141345,0.736,0.581,45.3,230,"ESP",41,184402,1,3,41,184402,1,-9,-9,189401,184402,"COW system interrupted 11/1916-9/1924 (US occup); terr chg data incl 1865 indep from Spain; ruled by Haiti (not a COW system member) from 1822 to 1844 revolution"
615,"Algeria","DZA","France",4055.24658024295,0.754,0.598,27.6,220,"FRA",220,196207,1,2,-9,-9,-9,-9,-9,196207,196207,"G&W add earlier indep from 1/1/1816-7/5/1830"
130,"Ecuador","ECU","Spain",6273.48889235625,0.752,0.603,45,230,"ESP",100,183005,0,3,100,183005,0,-9,-9,185401,183005,"Seceded from Gran Colombia (not in COW system; in G&W system 8/30/1821-9/22/1830)"
651,"Egypt","EGY","Turkey",2000.29955211312,0.696,0.493,31.8,640,"TUR",640,183111,0,2,-9,-9,-9,-9,-9,185501,182701,"Also occupied by British from 1882-1922 (rejoins COW 5/1937 & G/W 2/1922)"
531,"Eritrea","ERI","Italy",1146.74507635589,0.44,NA,NA,325,"ITA",530,199305,1,3,530,199305,1,-9,-9,199305,199305,"British occupied in 1941 & administered under UN trust from 1949-52; seceded from Ethiopia after long war"
