"Country or Area","Year","Item","Value"
"Jamaica","2017","Gross Domestic Product (GDP)","5129.84528128575"
"Japan","2017","Gross Domestic Product (GDP)","38219.6817283573"
"Jordan","2017","Gross Domestic Product (GDP)","4195.72970641507"
"Kazakhstan","2017","Gross Domestic Product (GDP)","8756.4571398539"
"Kenya","2017","Gross Domestic Product (GDP)","1507.81462604759"
"Kingdom of Eswatini","2017","Gross Domestic Product (GDP)","3224.40761731421"
"Kiribati","2017","Gross Domestic Product (GDP)","1694.28610646283"
"Kosovo","2017","Gross Domestic Product (GDP)","4116.32602427861"
"Kuwait","2017","Gross Domestic Product (GDP)","28897.1865162497"
"Kyrgyzstan","2017","Gross Domestic Product (GDP)","1251.38063772788"
"Lao People's Democratic Republic","2017","Gross Domestic Product (GDP)","2457.37990149978"
"Latvia","2017","Gross Domestic Product (GDP)","15624.8505714961"
"Lebanon","2017","Gross Domestic Product (GDP)","8778.47183166005"
"Lesotho","2017","Gross Domestic Product (GDP)","1178.31175387437"
"Liberia","2017","Gross Domestic Product (GDP)","583.830053471054"
"Libya","2017","Gross Domestic Product (GDP)","3941.77382089043"
"Liechtenstein","2017","Gross Domestic Product (GDP)","166021.702917002"
"Lithuania","2017","Gross Domestic Product (GDP)","16449.6795861987"
"Luxembourg","2017","Gross Domestic Product (GDP)","106805.768781017"
"Madagascar","2017","Gross Domestic Product (GDP)","516.540041644505"
"Malawi","2017","Gross Domestic Product (GDP)","340.417088910495"
"Malaysia","2017","Gross Domestic Product (GDP)","9951.44955940059"
"Maldives","2017","Gross Domestic Product (GDP)","11151.0920279616"
"Mali","2017","Gross Domestic Product (GDP)","821.693528812962"
"Malta","2017","Gross Domestic Product (GDP)","29136.9679183422"
"Marshall Islands","2017","Gross Domestic Product (GDP)","3753.25629152785"
"Mauritania","2017","Gross Domestic Product (GDP)","1129.38915173152"
"Mauritius","2017","Gross Domestic Product (GDP)","10564.91259698"
"Mexico","2017","Gross Domestic Product (GDP)","8967.17016660979"
"Micronesia (Federated States of)","2017","Gross Domestic Product (GDP)","3187.55716099447"
"Monaco","2017","Gross Domestic Product (GDP)","165420.989471529"
"Mongolia","2017","Gross Domestic Product (GDP)","3620.39180558157"
"Montenegro","2017","Gross Domestic Product (GDP)","7702.56637272964"
"Montserrat","2017","Gross Domestic Product (GDP)","11581.8542127215"
"Morocco","2017","Gross Domestic Product (GDP)","3069.67101308887"
"Mozambique","2017","Gross Domestic Product (GDP)","426.438077170711"
"Myanmar","2017","Gross Domestic Product (GDP)","1257.28102869549"
"Namibia","2017","Gross Domestic Product (GDP)","5227.17982439078"
"Nauru","2017","Gross Domestic Product (GDP)","10045.3773713531"
"Nepal","2017","Gross Domestic Product (GDP)","848.668340875907"
"Netherlands","2017","Gross Domestic Product (GDP)","48754.1466075908"
"New Caledonia","2017","Gross Domestic Product (GDP)","35815.4857149245"
"New Zealand","2017","Gross Domestic Product (GDP)","42934.9848182154"
"Nicaragua","2017","Gross Domestic Product (GDP)","2221.7812075383"
"Niger","2017","Gross Domestic Product (GDP)","378.072121357101"
"Nigeria","2017","Gross Domestic Product (GDP)","1968.55247207895"
"Norway","2017","Gross Domestic Product (GDP)","75295.2564231048"
"Oman","2017","Gross Domestic Product (GDP)","15267.4207560329"
"Pakistan","2017","Gross Domestic Product (GDP)","1533.57872327897"
"Palau","2017","Gross Domestic Product (GDP)","13417.2764508261"
"Panama","2017","Gross Domestic Product (GDP)","15087.6816417463"
"Papua New Guinea","2017","Gross Domestic Product (GDP)","2666.99741246218"
"Paraguay","2017","Gross Domestic Product (GDP)","4321.50720520348"
"Peru","2017","Gross Domestic Product (GDP)","6572.35496828982"
"Philippines","2017","Gross Domestic Product (GDP)","2988.95152959166"
"Poland","2017","Gross Domestic Product (GDP)","13785.7489779728"
"Portugal","2017","Gross Domestic Product (GDP)","18881.9481537853"
"Puerto Rico","2017","Gross Domestic Product (GDP)","28450.6887687063"
"Qatar","2017","Gross Domestic Product (GDP)","63505.8813367845"
"Republic of Korea","2017","Gross Domestic Product (GDP)","30025.1957363731"
"Republic of Moldova","2017","Gross Domestic Product (GDP)","2006.43118714636"
"Romania","2017","Gross Domestic Product (GDP)","10762.7635581256"
"Russian Federation","2017","Gross Domestic Product (GDP)","10955.8102584701"
"Rwanda","2017","Gross Domestic Product (GDP)","748.350053174087"
"Saint Kitts and Nevis","2017","Gross Domestic Product (GDP)","16817.9502782211"
"Saint Lucia","2017","Gross Domestic Product (GDP)","9606.96555740281"
"Saint Vincent and the Grenadines","2017","Gross Domestic Product (GDP)","7098.78064275"
"Samoa","2017","Gross Domestic Product (GDP)","4355.67993699193"
"San Marino","2017","Gross Domestic Product (GDP)","50587.6299930905"
"Sao Tome and Principe","2017","Gross Domestic Product (GDP)","1921.28108604704"
"Saudi Arabia","2017","Gross Domestic Product (GDP)","20760.9060117661"
"Senegal","2017","Gross Domestic Product (GDP)","1332.83236450343"
"Serbia","2017","Gross Domestic Product (GDP)","5912.07572032516"
"Seychelles","2017","Gross Domestic Product (GDP)","15692.7352346963"
"Sierra Leone","2017","Gross Domestic Product (GDP)","494.835664781072"
"Singapore","2017","Gross Domestic Product (GDP)","56736.7702565016"
"Slovakia","2017","Gross Domestic Product (GDP)","17552.0563243671"
"Slovenia","2017","Gross Domestic Product (GDP)","23296.4067028435"
"Solomon Islands","2017","Gross Domestic Product (GDP)","1982.2843200711"
"Somalia","2017","Gross Domestic Product (GDP)","104.139954144258"
"South Africa","2017","Gross Domestic Product (GDP)","6151.08679928917"
"South Sudan","2017","Gross Domestic Product (GDP)","452.77029168266"
"Spain","2017","Gross Domestic Product (GDP)","28353.6493696499"
"Sri Lanka","2017","Gross Domestic Product (GDP)","4184.36532372811"
"State of Palestine","2017","Gross Domestic Product (GDP)","2946.33472635328"
"Sudan","2017","Gross Domestic Product (GDP)","2967.08343327986"
"Suriname","2017","Gross Domestic Product (GDP)","6757.42621394445"
"Sweden","2017","Gross Domestic Product (GDP)","54043.3401740635"
"Switzerland","2017","Gross Domestic Product (GDP)","80101.2041019419"
"Syrian Arab Republic","2017","Gross Domestic Product (GDP)","831.060401347182"
"Tajikistan","2017","Gross Domestic Product (GDP)","800.963060672885"
"Thailand","2017","Gross Domestic Product (GDP)","6595.00197610361"
"The former Yugoslav Republic of Macedonia","2017","Gross Domestic Product (GDP)","5414.61879598777"
"Timor-Leste","2017","Gross Domestic Product (GDP)","2279.25320389937"
"Togo","2017","Gross Domestic Product (GDP)","613.758638687202"
"Tonga","2017","Gross Domestic Product (GDP)","3949.82280160173"
"Trinidad and Tobago","2017","Gross Domestic Product (GDP)","16145.2507576714"
